SENTENCE,TRIPLES
The following safety guidelines are intended to prevent unforeseen risks or damage from unsafe or incorrect operation of the appliance.,"|-  {'subject': 'following safety guidelines', 'relation': 'prevent risks from', 'object': 'unsafe operation'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent', 'object': 'risks'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent damage from', 'object': 'operation'}
|-  {'subject': 'following safety guidelines', 'relation': 'are', 'object': 'intended'}
|-  {'subject': 'safety guidelines', 'relation': 'are', 'object': 'intended'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent damage from', 'object': 'unsafe operation'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent risks from', 'object': 'unsafe operation'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent risks from', 'object': 'operation of appliance'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent damage from', 'object': 'operation of appliance'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent risks from', 'object': 'unsafe operation of appliance'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent risks from', 'object': 'operation'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent', 'object': 'damage'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent damage from', 'object': 'unsafe operation of appliance'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent damage from', 'object': 'unsafe operation of appliance'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent risks from', 'object': 'operation of appliance'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent', 'object': 'damage'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent damage from', 'object': 'operation'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent', 'object': 'risks'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent', 'object': 'unforeseen risks'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent', 'object': 'unforeseen risks'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent damage from', 'object': 'unsafe operation'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent risks from', 'object': 'unsafe operation of appliance'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent damage from', 'object': 'operation of appliance'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent risks from', 'object': 'operation'}
"
The guidelines are separated into WARNING and CAUTION as described below.,"|-  {'subject': 'guidelines', 'relation': 'are separated', 'object': 'described below'}
|-  {'subject': 'guidelines', 'relation': 'are separated into', 'object': 'WARNING'}
|-  {'subject': 'guidelines', 'relation': 'are', 'object': 'separated'}
|-  {'subject': 'guidelines', 'relation': 'are separated', 'object': 'described'}
"
This symbol is displayed to indicate matters and operations that can cause risk.,"|-  {'subject': 'symbol', 'relation': 'is', 'object': 'displayed'}
|-  {'subject': 'symbol', 'relation': 'indicate', 'object': 'operations'}
|-  {'subject': 'symbol', 'relation': 'indicate', 'object': 'matters'}
"
Read the part with this symbol carefully and follow the instructions in order to avoid risk.,"|-  {'subject': 'part', 'relation': 'follow', 'object': 'instructions'}
"
WARNING - This indicates that the failure to follow the instructions can cause serious injury or death.,
CAUTION - This indicates that the failure to follow the instructions can cause minor injury or damage the product.,
"To reduce the risk of explosion, fire, death, electric shock, injury or scalding to persons when using this product, follow basic precautions, including the following:   Keep ventilation openings, in the appliance enclosure or in the built-in structure, clear of obstruction.",
"Do not use mechanical devices or other means to accelerate the defrosting process, other than those recommended by the manufacturer.",
Do not damage the refrigerant circuit.,
"Do not use electrical appliances inside the food storage compartments of the appliance, unless they are of the type recommended by the manufacturer.",
The refrigerant and insulation blowing gas used in the appliance require special disposal procedures.,"|-  {'subject': 'insulation', 'relation': 'require', 'object': 'special disposal procedures'}
|-  {'subject': 'refrigerant', 'relation': 'require', 'object': 'special disposal procedures'}
|-  {'subject': 'refrigerant', 'relation': 'require', 'object': 'disposal procedures'}
|-  {'subject': 'insulation', 'relation': 'require', 'object': 'disposal procedures'}
"
Consult with service agent or a similarly qualified person before disposing of them.,
"This appliance contains a small amount of isobutane refrigerant (R600a), natural gas with high environmental compatibility, but it is also combustible.","|-  {'subject': 'isobutane refrigerant', 'relation': 'gas with', 'object': 'high environmental compatibility'}
|-  {'subject': 'natural gas', 'relation': 'is with', 'object': 'high environmental compatibility'}
"
"When transporting and installing the appliance, care should be taken to ensure that no parts of the refrigerating circuit are damaged.","|-  {'subject': 'care', 'relation': 'transporting', 'object': 'appliance'}
|-  {'subject': 'care', 'relation': 'should', 'object': 'should taken'}
"
Refrigerant squirting out of the pipes could ignite or cause an eye injury.,"|-  {'subject': 'Refrigerant', 'relation': 'squirting out of', 'object': 'pipes'}
|-  {'subject': 'Refrigerant', 'relation': 'could ignite', 'object': 'eye injury'}
"
"If a leak is detected, avoid any naked flames or potential sources of ignition and air the room in which the appliance is standing for several minutes.","|-  {'subject': 'leak', 'relation': 'is', 'object': 'detected'}
"
The amount of refrigerant in your particular appliance is shown on the identification plate inside the appliance.,"|-  {'subject': 'amount', 'relation': 'is in', 'object': 'your particular appliance'}
|-  {'subject': 'amount', 'relation': 'is', 'object': 'shown'}
|-  {'subject': 'amount', 'relation': 'is shown on', 'object': 'identification plate'}
|-  {'subject': 'amount', 'relation': 'is shown on', 'object': 'identification plate inside appliance'}
"
Never start up an appliance showing any signs of damage.,"|-  {'subject': 'showing', 'relation': 'signs of', 'object': 'damage'}
"
"If in doubt, consult your dealer.",
"Only an authorized repair person from LG Electronics service centre should disassemble, repair, or modify the product.","|-  {'subject': 'authorized repair person', 'relation': 'modify', 'object': 'product'}
|-  {'subject': 'repair person', 'relation': 'modify', 'object': 'product'}
"
Contact LG Electronics service centre if you move the product.,"|-  {'subject': 'you', 'relation': 'move', 'object': 'product'}
"
"Improper service may cause injury, electric shock or fire.","|-  {'subject': 'service', 'relation': 'may cause', 'object': 'injury'}
|-  {'subject': 'Improper service', 'relation': 'may cause', 'object': 'electric shock'}
|-  {'subject': 'Improper service', 'relation': 'may cause', 'object': 'fire'}
|-  {'subject': 'Improper service', 'relation': 'may cause', 'object': 'injury'}
|-  {'subject': 'Improper service', 'relation': 'may cause', 'object': 'shock'}
|-  {'subject': 'service', 'relation': 'may cause', 'object': 'shock'}
|-  {'subject': 'service', 'relation': 'may cause', 'object': 'electric shock'}
|-  {'subject': 'service', 'relation': 'may cause', 'object': 'fire'}
"
"To reduce the risk of explosion, fire, death, electric shock, injury or scalding to persons when using this product, follow basic precautions, including the following:   Product installation should be done only by LG service technician.","|-  {'subject': 'Product installation', 'relation': 'should', 'object': 'should done by LG service technician'}
|-  {'subject': 'Product installation', 'relation': 'should', 'object': 'should done'}
|-  {'subject': 'Product installation', 'relation': 'should', 'object': 'should done only by LG service technician'}
"
Ground the product for safety.,
"For more details on grounding, inquire at LG Electronics service centre.",
"For counter-top installation, install the product on a solid and flat area.",
"If the product is installed on an uneven floor, it can generate vibration and noise or cause misalignment of the product.","|-  {'subject': 'it', 'relation': 'can generate noise', 'object': 'installed'}
|-  {'subject': 'it', 'relation': 'can generate vibration', 'object': 'installed on uneven floor'}
|-  {'subject': 'it', 'relation': 'can generate', 'object': 'noise'}
|-  {'subject': 'product', 'relation': 'is', 'object': 'installed'}
|-  {'subject': 'it', 'relation': 'can generate noise', 'object': 'installed on uneven floor'}
|-  {'subject': 'it', 'relation': 'cause', 'object': 'misalignment'}
|-  {'subject': 'cause', 'relation': 'misalignment of', 'object': 'product'}
|-  {'subject': 'it', 'relation': 'can generate', 'object': 'vibration'}
|-  {'subject': 'it', 'relation': 'can generate vibration', 'object': 'installed'}
|-  {'subject': 'it', 'relation': 'cause', 'object': 'misalignment of product'}
|-  {'subject': 'product', 'relation': 'is installed on', 'object': 'floor'}
|-  {'subject': 'product', 'relation': 'is installed on', 'object': 'uneven floor'}
|-  {'subject': 'it', 'relation': 'can generate vibration', 'object': 'installed on floor'}
|-  {'subject': 'it', 'relation': 'can generate noise', 'object': 'installed on floor'}
"
Do not install the product in a damp area and keep away from splashing rain or water.,"|-  {'subject': 'product', 'relation': 'keep away from', 'object': 'splashing rain'}
|-  {'subject': 'product', 'relation': 'keep away from', 'object': 'rain'}
"
This appliance is equipped with a cord having an equipment-grounding conductor and grounding plug.,"|-  {'subject': 'equipment-grounding conductor', 'relation': 'grounding', 'object': 'plug'}
|-  {'subject': 'appliance', 'relation': 'is', 'object': 'equipped'}
|-  {'subject': 'appliance', 'relation': 'is equipped with', 'object': 'cord'}
|-  {'subject': 'conductor', 'relation': 'grounding', 'object': 'plug'}
"
The plug must be plugged into an appropriate outlet that is properly installed and grounded in accordance with all local codes and ordinances.,"|-  {'subject': 'plug', 'relation': 'must', 'object': 'must plugged'}
|-  {'subject': 'plug', 'relation': 'must', 'object': 'must plugged into appropriate outlet'}
|-  {'subject': 'plug', 'relation': 'must', 'object': 'must plugged into outlet'}
"
Use only grounded extension socket outlets.,"|-  {'subject': 'Use', 'relation': 'grounded', 'object': 'extension socket outlets'}
|-  {'subject': 'Use', 'relation': 'only grounded', 'object': 'extension socket outlets'}
"
Do not plug multiple products into multiple socket-outlets or extension cords.,
Do not touch the power plug with wet hands.,
Plug the power plug in the outlet tightly after removing the moisture and dust completely.,
"When pulling out the power plug from an outlet, hold the power plug, not the cable.",
"If the power cable or power plug is damaged or the hole of the outlet socket is loose, do not use the power plug and contact LG Electronics service centre.","|-  {'subject': 'power cable', 'relation': 'is', 'object': 'damaged'}
"
Unplug the power plug during thunder or lightening or when not in use for a long period of time.,
Do not bend the power cable excessively or place a heavy object on top of it.,"|-  {'subject': 'power cable', 'relation': 'place', 'object': 'object'}
|-  {'subject': 'power cable', 'relation': 'place', 'object': 'heavy object'}
|-  {'subject': 'power cable', 'relation': 'place object on top of', 'object': 'it'}
"
Do not extend the length of the power cable or alter it.,
Do not plug and unplug the power plug repeatedly.,
"In case of flood, stop using the product and contact LG Electronics service centre.",
"If there is a gas leakage (isobutane, propane, natural gas, etc.",
"), do not touch the product or power plug and ventilate the area immediately.","|-  {'subject': 'power plug', 'relation': 'ventilate immediately', 'object': 'area'}
|-  {'subject': 'power plug', 'relation': 'ventilate', 'object': 'area'}
"
"Sparks can cause explosion, fire or injury.","|-  {'subject': 'Sparks', 'relation': 'can cause', 'object': 'explosion'}
|-  {'subject': 'Sparks', 'relation': 'can cause', 'object': 'injury'}
|-  {'subject': 'Sparks', 'relation': 'can cause', 'object': 'fire'}
"
"This product uses an eco-friendly gas (isobutane, R600a) as the refrigerant.","|-  {'subject': 'product', 'relation': 'uses', 'object': 'eco-friendly gas'}
|-  {'subject': 'product', 'relation': 'uses gas as', 'object': 'refrigerant'}
|-  {'subject': 'product', 'relation': 'uses', 'object': 'gas'}
"
"Although it uses a small amount of the gas, it is still combustible gas.","|-  {'subject': 'it', 'relation': 'small amount of', 'object': 'gas'}
|-  {'subject': 'it', 'relation': 'is', 'object': 'combustible gas'}
|-  {'subject': 'it', 'relation': 'is', 'object': 'still combustible gas'}
|-  {'subject': 'it', 'relation': 'uses', 'object': 'small amount'}
|-  {'subject': 'it', 'relation': 'uses', 'object': 'amount'}
|-  {'subject': 'it', 'relation': 'amount of', 'object': 'gas'}
|-  {'subject': 'it', 'relation': 'uses', 'object': 'small amount of gas'}
|-  {'subject': 'it', 'relation': 'is', 'object': 'still gas'}
|-  {'subject': 'it', 'relation': 'is', 'object': 'gas'}
|-  {'subject': 'it', 'relation': 'uses', 'object': 'amount of gas'}
"
"Do not clean the product with brushes, cloths or sponges with rough surfaces or which are made of metallic material.",
"Immediately unplug the power plug and contact LG Electronics service centre if you detect any abnormal noise, odour or smoke.",
Do not place hands or metallic objects below the product or heat releasing grill (exhaust pipe) on the back .,
"There can be sharp edges in a disassembled set, special care to be taken while handling.","|-  {'subject': 'There can sharp edges', 'relation': 'is in', 'object': 'disassembled set'}
"
"Do not place heavy or fragile objects, liquids, combustible substances, or flammable objects (such as candles and lamps) on or inside the product.",
"Do not use or store flammable or combustible substances (ether, benzene, alcohol, chemical, LPG, combustible spray, insecticide, air freshener, cosmetics, etc.",
) near the product.,
"If moisture penetrates inside the product, unplug the power plug and contact LG Electronics service centre.","|-  {'subject': 'moisture', 'relation': 'penetrates inside', 'object': 'product'}
"
"If water is leaking from the inside of the product or water has collected near the product, close the water supply valve, unplug the power plug, and contact LG Electronics service centre.","|-  {'subject': 'water supply valve', 'relation': 'unplug', 'object': 'power plug'}
|-  {'subject': 'water', 'relation': 'is leaking from', 'object': 'inside'}
|-  {'subject': 'water', 'relation': 'is leaking from', 'object': 'inside of product'}
|-  {'subject': 'water', 'relation': 'has collected near', 'object': 'product'}
"
Do not move the product while the product is plugged in.,
"To reduce the risk of minor injury to persons, malfunction, or damage to the product or property when using this product, follow basic precautions, including the following:   Connect the water pipe of the product to tap water only.","|-  {'subject': 'water pipe', 'relation': 'tap', 'object': 'water'}
|-  {'subject': 'water pipe', 'relation': 'tap only', 'object': 'water'}
"
Water other than tap water can increase the risk of exposure to disease.,"|-  {'subject': 'Water other', 'relation': 'can increase', 'object': 'risk of exposure to disease'}
|-  {'subject': 'Water', 'relation': 'can increase', 'object': 'risk'}
|-  {'subject': 'Water other', 'relation': 'can increase', 'object': 'risk'}
|-  {'subject': 'Water', 'relation': 'can increase', 'object': 'risk of exposure'}
|-  {'subject': 'Water other', 'relation': 'can increase', 'object': 'risk of exposure'}
|-  {'subject': 'Water', 'relation': 'can increase', 'object': 'risk of exposure to disease'}
"
"Hot water may spattered, so install the drain hose carefully to the drain.","|-  {'subject': 'Hot water', 'relation': 'so install drain hose carefully to', 'object': 'drain'}
|-  {'subject': 'water', 'relation': 'so install', 'object': 'drain hose'}
|-  {'subject': 'Hot water', 'relation': 'so install carefully', 'object': 'drain hose'}
|-  {'subject': 'Hot water', 'relation': 'install drain hose to', 'object': 'drain'}
|-  {'subject': 'water', 'relation': 'so install carefully', 'object': 'drain hose'}
|-  {'subject': 'Hot water', 'relation': 'so install drain hose to', 'object': 'drain'}
|-  {'subject': 'water', 'relation': 'install carefully', 'object': 'drain hose'}
|-  {'subject': 'water', 'relation': 'install drain hose carefully to', 'object': 'drain'}
|-  {'subject': 'Hot water', 'relation': 'install drain hose carefully to', 'object': 'drain'}
|-  {'subject': 'Hot water', 'relation': 'install', 'object': 'drain hose'}
|-  {'subject': 'water', 'relation': 'so install drain hose to', 'object': 'drain'}
|-  {'subject': 'water', 'relation': 'so install drain hose carefully to', 'object': 'drain'}
|-  {'subject': 'water', 'relation': 'install', 'object': 'drain hose'}
|-  {'subject': 'Hot water', 'relation': 'install carefully', 'object': 'drain hose'}
|-  {'subject': 'water', 'relation': 'install drain hose to', 'object': 'drain'}
|-  {'subject': 'Hot water', 'relation': 'so install', 'object': 'drain hose'}
"
Replace the filter with a LG standard filter periodically according to the replacement period.,
Older filters can multiply bacteria or change the taste of the water.,"|-  {'subject': 'Older filters', 'relation': 'change', 'object': 'taste'}
|-  {'subject': 'filters', 'relation': 'can multiply', 'object': 'bacteria'}
|-  {'subject': 'Older filters', 'relation': 'change', 'object': 'taste of water'}
|-  {'subject': 'filters', 'relation': 'change', 'object': 'taste of water'}
|-  {'subject': 'Older filters', 'relation': 'can multiply', 'object': 'bacteria'}
|-  {'subject': 'filters', 'relation': 'change', 'object': 'taste'}
|-  {'subject': 'change', 'relation': 'taste of', 'object': 'water'}
"
"The filter replacement period varies according to the usage, place of usage, season, and water quality.","|-  {'subject': 'usage', 'relation': 'place of', 'object': 'usage'}
|-  {'subject': 'filter replacement period', 'relation': 'varies according to', 'object': 'place'}
|-  {'subject': 'filter replacement period', 'relation': 'varies according to', 'object': 'usage'}
|-  {'subject': 'filter replacement period', 'relation': 'varies according to', 'object': 'place of usage'}
"
"When using hot water, use a container with a handle.",
"(Only applicable to a model with hot water function)  If the drip tray of the product protrudes from a desk or table, do not place any article on top of the drip tray.","|-  {'subject': 'model', 'relation': 'is with', 'object': 'hot water function'}
"
"Take care against the possibility of damaging the pipe (inlet, outlet) in order to prevent water leakage.",
"When cleaning the product, unplug the power plug.",
Do not allow anyone to hang from or climb on the product.,
Be particularly cautious of children operating the product.,
Keep a distance of over 10 cm between the back and sides of the product and the wall for smooth ventilation.,
Not doing so can cause malfunctions.,
Connect the product hoses as shown below.,"|-  {'subject': 'product', 'relation': 'hoses', 'object': 'shown'}
|-  {'subject': 'product', 'relation': 'hoses', 'object': 'shown below'}
"
Connect the white (water supply) hose to tap water.,
"When connecting the water hose, do not connect it to the hot water pipe.",
Doing so may cause malfunctions.,"|-  {'subject': 'Doing', 'relation': 'may cause', 'object': 'malfunctions'}
"
Install the blue (drain) hose on the sink.,
Check the pipe and hose connection for leaks.,
Water can leak and cause electric shock or injury.,"|-  {'subject': 'Water', 'relation': 'cause', 'object': 'electric shock'}
|-  {'subject': 'Water', 'relation': 'cause', 'object': 'shock'}
|-  {'subject': 'Water', 'relation': 'cause', 'object': 'injury'}
"
"When transporting the product, do not tilt the product over 30 degrees.",
Doing so can cause malfunctions.,"|-  {'subject': 'Doing', 'relation': 'can cause', 'object': 'malfunctions'}
"
Install the product in an indoor place with a surrounding temperature of over 5 C and less than 43 C.,"|-  {'subject': 'indoor place', 'relation': 'is with', 'object': 'surrounding temperature of over 5 C'}
"
Not doing so can cause malfunctions.,
"Avoid installing the water purifier in a place with an uneven ground, a large amount of moisture, direct sunlight, dust and direct water splashing.","|-  {'subject': 'uneven ground', 'relation': 'amount of', 'object': 'moisture'}
|-  {'subject': 'place', 'relation': 'is with', 'object': 'uneven ground'}
"
blue hose    Connect the power plug to an appropriate socket.,"|-  {'subject': 'blue hose', 'relation': 'Connect', 'object': 'power plug'}
|-  {'subject': 'hose', 'relation': 'Connect power plug to', 'object': 'socket'}
|-  {'subject': 'blue hose', 'relation': 'Connect power plug to', 'object': 'socket'}
|-  {'subject': 'hose', 'relation': 'Connect', 'object': 'power plug'}
|-  {'subject': 'hose', 'relation': 'Connect power plug to', 'object': 'appropriate socket'}
|-  {'subject': 'blue hose', 'relation': 'Connect power plug to', 'object': 'appropriate socket'}
"
Open the water supply valve.,
"After tank is full, discharge the water for first time.","|-  {'subject': 'tank', 'relation': 'is', 'object': 'full'}
"
"(approximately time taken to fill the tank to fullest is 1hour, depending on water pressure, temperature etc.","|-  {'subject': 'taken', 'relation': 'is', 'object': '1hour'}
"
)   Notes for Operation  Open the water supply valve.,"|-  {'subject': 'Notes', 'relation': 'Open', 'object': 'water supply valve'}
"
The water purifier operates normally only when water is supplied properly.,"|-  {'subject': 'water', 'relation': 'is', 'object': 'only when supplied properly'}
|-  {'subject': 'water', 'relation': 'is', 'object': 'only when supplied'}
|-  {'subject': 'water', 'relation': 'is', 'object': 'when supplied properly'}
|-  {'subject': 'water', 'relation': 'is', 'object': 'supplied properly'}
|-  {'subject': 'water', 'relation': 'is', 'object': 'supplied'}
|-  {'subject': 'water', 'relation': 'is', 'object': 'when supplied'}
"
"When the hot water and cold water temperature icons are turned off, check if the power supply has been suspended due to power failure or other  reasons.","|-  {'subject': 'power supply', 'relation': 'has', 'object': 'has suspended'}
"
It is very important to replace the filter periodically in order to drink clean water.,"|-  {'subject': 'It', 'relation': 'is', 'object': 'very important'}
|-  {'subject': 'It', 'relation': 'is', 'object': 'important'}
|-  {'subject': 'It', 'relation': 'replace periodically', 'object': 'filter'}
|-  {'subject': 'It', 'relation': 'replace', 'object': 'filter'}
"
"When using an expired filter, the performance of water filtration system can deteriorate.","|-  {'subject': 'performance', 'relation': 'using', 'object': 'expired filter'}
|-  {'subject': 'performance', 'relation': 'using', 'object': 'filter'}
"
Always abide by the filter replacement period.,
"(For WW1* Series)  If the product has not been#used for a long period of time, discharge cold water , ROOM TEMP.",
", and hot water # for 10 minutes each, and then use.",
Old water can multiply bacteria or change the water taste.,"|-  {'subject': 'Old water', 'relation': 'can multiply', 'object': 'bacteria'}
|-  {'subject': 'water', 'relation': 'change', 'object': 'water taste'}
|-  {'subject': 'water', 'relation': 'can multiply', 'object': 'bacteria'}
|-  {'subject': 'Old water', 'relation': 'change', 'object': 'water taste'}
"
Do not use purified water for replacing water in the humidifier or fishbowl.,
Leaving purified water as it is for a long period of time can multiply bacteria.,"|-  {'subject': 'it', 'relation': 'is for', 'object': 'long period of time'}
|-  {'subject': 'it', 'relation': 'is', 'object': 'long'}
|-  {'subject': 'bacteria', 'relation': 'Leaving', 'object': 'purified water'}
|-  {'subject': 'bacteria', 'relation': 'Leaving', 'object': 'water'}
|-  {'subject': 'it', 'relation': 'is for', 'object': 'long period'}
|-  {'subject': 'it', 'relation': 'is for', 'object': 'period'}
|-  {'subject': 'bacteria', 'relation': 'Leaving water for', 'object': 'period'}
|-  {'subject': 'bacteria', 'relation': 'Leaving water for', 'object': 'long period of time'}
|-  {'subject': 'it', 'relation': 'is for', 'object': 'period of time'}
|-  {'subject': 'bacteria', 'relation': 'Leaving water for', 'object': 'period of time'}
|-  {'subject': 'bacteria', 'relation': 'Leaving water for', 'object': 'long period'}
"
Use the product only after closing the product cover completely.,
"Otherwise, insects or other foreign substances may get in.",
Note  Water level indicator   The reverse osmosis contains a replaceable treatment component critical for the effective reduction of total dissolved solids and that product water shall be tested periodically to verify that the system is performing properly.,"|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction of dissolved solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction of total solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction of dissolved solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction of total solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction of dissolved solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction of dissolved solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction of solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction of solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction of total dissolved solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction of dissolved solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction of solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction of total solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction of total dissolved solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction of dissolved solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction of solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction of total solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction of total solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction of solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction of dissolved solids'}
