SENTENCE,TRIPLES
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction of total dissolved solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction of total dissolved solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction of total solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction of total solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction of total dissolved solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction of dissolved solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction'}
|-  {'subject': 'product water', 'relation': 'shall', 'object': 'shall tested'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction of total dissolved solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for effective reduction of total solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction of total dissolved solids'}
|-  {'subject': 'product water', 'relation': 'shall', 'object': 'shall tested periodically'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for effective reduction of solids'}
|-  {'subject': 'reverse osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction of total dissolved solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'treatment component critical for reduction of solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component critical for reduction of solids'}
|-  {'subject': 'osmosis', 'relation': 'contains', 'object': 'replaceable treatment component'}
"
The water level of the storage tank is displayed in 3 levels.,"|-  {'subject': 'water level', 'relation': 'is displayed in', 'object': '3 levels'}
|-  {'subject': 'water level', 'relation': 'is', 'object': 'displayed'}
"
"Do not use with water that is microbiologically unsafe or of unknown quality, without adequate disinfection before or after the system.",
"The icon is divided into 3 levels according to the water level, and as more indication lamps turn on, the water level becomes higher.","|-  {'subject': 'icon', 'relation': 'is divided into', 'object': '3 levels'}
|-  {'subject': 'icon', 'relation': 'is', 'object': 'divided'}
|-  {'subject': 'water level', 'relation': 'becomes', 'object': 'higher'}
|-  {'subject': 'icon', 'relation': 'is divided according to', 'object': 'water level'}
"
"However, the water level cannot be adjusted discretionally.",
"Suggestion for energy saving  If the product will not be used for a long period of time, unplug the power plug and drain the water inside the water filtration system completely.","|-  {'subject': 'Suggestion', 'relation': 'drain water completely inside', 'object': 'water filtration system'}
|-  {'subject': 'Suggestion', 'relation': 'drain', 'object': 'water'}
|-  {'subject': 'Suggestion', 'relation': 'drain water inside', 'object': 'water filtration system'}
|-  {'subject': 'Suggestion', 'relation': 'drain completely', 'object': 'water'}
"
"In case the hot water or cold water function will not be used, turn the hot water or cold water function off.",
Purified water is sterilized by the UV LED.,"|-  {'subject': 'water', 'relation': 'is sterilized by', 'object': 'UV LED'}
|-  {'subject': 'water', 'relation': 'is sterilized by', 'object': 'UV'}
|-  {'subject': 'Purified water', 'relation': 'is sterilized by', 'object': 'UV'}
|-  {'subject': 'Purified water', 'relation': 'is sterilized by', 'object': 'UV LED'}
|-  {'subject': 'Purified water', 'relation': 'is', 'object': 'sterilized'}
|-  {'subject': 'water', 'relation': 'is', 'object': 'sterilized'}
"
Blue color indicates that UV sterilization is ON & White color indicates that UV sterilization is OFF.,"|-  {'subject': 'UV sterilization', 'relation': 'is', 'object': 'OFF'}
|-  {'subject': 'UV sterilization', 'relation': 'is', 'object': 'ON indicates'}
|-  {'subject': 'UV sterilization', 'relation': 'is', 'object': 'ON'}
"
"(When tank cover is open, UV LED will be automatically turned OFF for your safety.","|-  {'subject': 'tank cover', 'relation': 'is', 'object': 'open'}
|-  {'subject': 'tank cover', 'relation': 'is', 'object': 'When open'}
"
")    When you press the touch lever, purified water will come out.","|-  {'subject': 'you', 'relation': 'press', 'object': 'touch lever'}
"
"If you wish to discharge continuously, lift the touch lever upward.","|-  {'subject': 'you', 'relation': 'wish', 'object': 'discharge'}
|-  {'subject': 'you', 'relation': 'wish', 'object': 'discharge continuously'}
"
The UV LED operates in any of the following 2 cases.,"|-  {'subject': 'UV', 'relation': 'LED', 'object': 'operates in any of following 2 cases'}
|-  {'subject': 'UV', 'relation': 'LED', 'object': 'operates in any of 2 cases'}
|-  {'subject': 'UV', 'relation': 'LED', 'object': 'operates in any'}
|-  {'subject': 'UV', 'relation': 'LED', 'object': 'operates'}
"
It operates for 75 minutes after every 6 hours.,"|-  {'subject': 'It', 'relation': 'operates after', 'object': '6 hours'}
"
It operates for 75 minutes after approximately 2 seconds when power is turned on following a power failure.,"|-  {'subject': 'power', 'relation': 'is turned on following', 'object': 'power failure'}
|-  {'subject': 'It', 'relation': 'operates for', 'object': '75 minutes'}
|-  {'subject': 'It', 'relation': 'operates after', 'object': 'approximately 2 seconds'}
"
"When the color of indicator changes from blue to amber, this indicates that it is time for preventive maintenance service.","|-  {'subject': 'it', 'relation': 'is', 'object': 'time'}
|-  {'subject': 'it', 'relation': 'is time for', 'object': 'preventive maintenance service'}
|-  {'subject': 'it', 'relation': 'is time for', 'object': 'maintenance service'}
"
Please call LG customer care for service.,
Open the valve.,
"You can rinse fruits and vegetables, wash dishes and brush your teeth.","|-  {'subject': 'You', 'relation': 'can rinse', 'object': 'fruits'}
|-  {'subject': 'You', 'relation': 'brush', 'object': 'your teeth'}
|-  {'subject': 'You', 'relation': 'can rinse', 'object': 'vegetables'}
"
The function discharges water while the valve is opened.,"|-  {'subject': 'valve', 'relation': 'is', 'object': 'opened'}
"
Do not use this water for drinking and cooking.,
"Separate the top cover by lifting it upward, and then unlock the storage tank cover.",
"Caution : Handle with care, sharp edges may cause injury.","|-  {'subject': 'sharp edges', 'relation': 'Handle with', 'object': 'care'}
|-  {'subject': 'edges', 'relation': 'Handle with', 'object': 'care'}
"
Drain water inside the storage tank completely using the drain hose and the water outlet.,
"However, do not discard drained water.",
"Caution : Do not put pressure or weight on tank cover, it may cause damage or injury.","|-  {'subject': 'it', 'relation': 'may cause', 'object': 'damage'}
|-  {'subject': 'it', 'relation': 'may cause', 'object': 'injury'}
"
Wipe the surface of the storage tank with a soft clean cloth.,
Unplug the power plug.,
Rinse the storage tank with the drained purified water and drain the water completely.,"|-  {'subject': 'storage tank', 'relation': 'drain completely', 'object': 'water'}
|-  {'subject': 'storage tank', 'relation': 'drain', 'object': 'water'}
"
"Caution : Take care of water spattering, it may cause electric shock.","|-  {'subject': 'it', 'relation': 'may cause', 'object': 'shock'}
|-  {'subject': 'it', 'relation': 'may cause', 'object': 'electric shock'}
"
Insert and lock the storage tank cover.,
Separate the drip grid by pulling it upwards.,
"Caution : Handle with care, sharp edges may cause injury.","|-  {'subject': 'sharp edges', 'relation': 'Handle with', 'object': 'care'}
|-  {'subject': 'edges', 'relation': 'Handle with', 'object': 'care'}
"
"Close the top cover, plug in the power cord and open the water supply valve.","|-  {'subject': 'plug', 'relation': 'is in', 'object': 'power cord'}
"
Some time is necessary to fill water in the tank.,"|-  {'subject': 'time', 'relation': 'fill', 'object': 'water'}
|-  {'subject': 'time', 'relation': 'is', 'object': 'necessary'}
|-  {'subject': 'time', 'relation': 'fill water in', 'object': 'tank'}
"
"Wait approximately 1 hour, and then press the touch lever and check if water comes out.",
"However, the time to fill water may vary according to the water pressure.",
Unplug the power plug when cleaning the storage tank.,
Do not clean the tank using tap water.,
Separate the drip tray by pulling it forward.,
Clean it with water.,
Install the drip tray on the product.,
"Place the drip grid on the drip tray, adhere it to the front side of the product closely, and gently push it to install.","|-  {'subject': 'drip grid', 'relation': 'adhere closely to', 'object': 'side of product'}
|-  {'subject': 'drip grid', 'relation': 'gently push', 'object': 'it'}
|-  {'subject': 'drip grid', 'relation': 'adhere closely to', 'object': 'front side of product'}
|-  {'subject': 'drip grid', 'relation': 'adhere to', 'object': 'front side'}
|-  {'subject': 'drip grid', 'relation': 'push', 'object': 'it'}
|-  {'subject': 'drip grid', 'relation': 'adhere to', 'object': 'side of product'}
|-  {'subject': 'drip grid', 'relation': 'adhere closely', 'object': 'it'}
|-  {'subject': 'drip grid', 'relation': 'adhere to', 'object': 'side'}
|-  {'subject': 'drip grid', 'relation': 'adhere closely to', 'object': 'side'}
|-  {'subject': 'drip grid', 'relation': 'adhere', 'object': 'it'}
|-  {'subject': 'drip grid', 'relation': 'adhere closely to', 'object': 'front side'}
|-  {'subject': 'drip grid', 'relation': 'adhere to', 'object': 'front side of product'}
"
Wipe the surface of the drip tray with a soft clean cloth.,
Do not use chemical or detergent for cleaning the storage tank.,
"Chemical or detergent will not be washed away completely, it can be harmful to the human body.",
Clean the water outlet periodically using a soft clean brush.,"|-  {'subject': 'Clean water outlet', 'relation': 'using', 'object': 'soft brush'}
|-  {'subject': 'water outlet', 'relation': 'using', 'object': 'soft brush'}
|-  {'subject': 'water outlet', 'relation': 'using', 'object': 'brush'}
|-  {'subject': 'water outlet', 'relation': 'periodically using', 'object': 'clean brush'}
|-  {'subject': 'Clean water outlet', 'relation': 'using', 'object': 'soft clean brush'}
|-  {'subject': 'water outlet', 'relation': 'periodically using', 'object': 'soft clean brush'}
|-  {'subject': 'Clean water outlet', 'relation': 'using', 'object': 'brush'}
|-  {'subject': 'Clean water outlet', 'relation': 'periodically using', 'object': 'brush'}
|-  {'subject': 'Clean water outlet', 'relation': 'periodically using', 'object': 'clean brush'}
|-  {'subject': 'water outlet', 'relation': 'using', 'object': 'clean brush'}
|-  {'subject': 'water outlet', 'relation': 'periodically using', 'object': 'brush'}
|-  {'subject': 'Clean water outlet', 'relation': 'periodically using', 'object': 'soft clean brush'}
|-  {'subject': 'water outlet', 'relation': 'periodically using', 'object': 'soft brush'}
|-  {'subject': 'water outlet', 'relation': 'using', 'object': 'soft clean brush'}
|-  {'subject': 'Clean water outlet', 'relation': 'using', 'object': 'clean brush'}
|-  {'subject': 'Clean water outlet', 'relation': 'periodically using', 'object': 'soft brush'}
"
Fur or foreign substances can accumulate in the water outlet.,
Caution should be taken.,"|-  {'subject': 'Caution', 'relation': 'should', 'object': 'should taken'}
"
"If a large amount of water is in the drip tray, water can spill out when separating the drip tray.","|-  {'subject': 'water', 'relation': 'separating', 'object': 'drip tray'}
|-  {'subject': 'water', 'relation': 'amount of is', 'object': 'drip tray'}
|-  {'subject': 'water', 'relation': 'can spill out in', 'object': 'drip tray'}
|-  {'subject': 'amount', 'relation': 'is in', 'object': 'drip tray'}
|-  {'subject': 'large amount', 'relation': 'is in', 'object': 'drip tray'}
|-  {'subject': 'water', 'relation': 'large amount of is', 'object': 'drip tray'}
"
"Removes big particles, rust stains, mud etc.",
Removes unseen dregs and other contamination.,
"Removes invisible fine particles, residual chlorine, VOC(Volatile Organic Compounds) etc.",
"Removes dissolved impurities and removes heavy metals, bacteria, viruses, VOC etc.","|-  {'subject': 'dissolved impurities', 'relation': 'removes', 'object': 'heavy metals'}
|-  {'subject': 'impurities', 'relation': 'removes', 'object': 'metals'}
|-  {'subject': 'dissolved impurities', 'relation': 'removes', 'object': 'metals'}
|-  {'subject': 'impurities', 'relation': 'removes', 'object': 'heavy metals'}
"
from water.,
Do not use water drained from the product for drinking or cooking.,
Removes odour & improves taste of water.,"|-  {'subject': 'odour', 'relation': 'improves', 'object': 'taste'}
|-  {'subject': 'odour', 'relation': 'improves', 'object': 'taste of water'}
"
"Use the water instead for cleaning the bathroom and house, doing the laundry or for other various purposes.",
Activated carbon inside the filter may sometimes flow in the storage tank.,"|-  {'subject': 'carbon', 'relation': 'may flow in', 'object': 'storage tank'}
|-  {'subject': 'carbon', 'relation': 'may sometimes flow in', 'object': 'storage tank'}
|-  {'subject': 'Activated carbon', 'relation': 'may sometimes flow in', 'object': 'storage tank'}
|-  {'subject': 'Activated carbon', 'relation': 'may flow in', 'object': 'storage tank'}
"
"If so, a fine powder of activated carbon used in the post-carbon filter has come out, and it is harmless to the human body.","|-  {'subject': 'it', 'relation': 'is harmless to', 'object': 'body'}
|-  {'subject': 'it', 'relation': 'is', 'object': 'harmless'}
|-  {'subject': 'it', 'relation': 'is harmless to', 'object': 'human body'}
|-  {'subject': 'powder', 'relation': 'has come out', 'object': 'so'}
|-  {'subject': 'fine powder', 'relation': 'has come out', 'object': 'so'}
"
"If found, drain out the water from tank completely.",
Add minerals in the purified water without mixing impure water.,"|-  {'subject': 'minerals', 'relation': 'is in', 'object': 'purified water'}
"
The filter replacement period refers to the period that the purification performance of the filter is maintained.,"|-  {'subject': 'filter replacement period', 'relation': 'refers to', 'object': 'period'}
|-  {'subject': 'purification performance', 'relation': 'is', 'object': 'maintained'}
"
"And, the replacement period is lesser in the case of a place with poor water quality or a large purification amount.","|-  {'subject': 'replacement period', 'relation': 'is lesser in', 'object': 'case of place with poor water quality'}
|-  {'subject': 'replacement period', 'relation': 'is lesser in', 'object': 'case of place'}
|-  {'subject': 'replacement period', 'relation': 'is lesser in', 'object': 'case'}
|-  {'subject': 'replacement period', 'relation': 'is', 'object': 'lesser'}
|-  {'subject': 'replacement period', 'relation': 'is lesser in', 'object': 'case of place with water quality'}
|-  {'subject': 'place', 'relation': 'is with', 'object': 'poor water quality'}
"
"Removes big particles, rust stains, mud etc.",
Removes only bacteria and fine particle substance.,
"If you wish to replace the filter, contact LG Electronics service centre.","|-  {'subject': 'you', 'relation': 'replace', 'object': 'filter'}
"
"After replacing the filter, check if there is a leak from the product.",
"After installation, when tank is full discard the water for first time.","|-  {'subject': 'tank', 'relation': 'is', 'object': 'when full'}
|-  {'subject': 'tank', 'relation': 'is', 'object': 'full'}
"
"(approximately time taken to fill the tank to fullest is 1hour, depending on water pressure, temp etc.","|-  {'subject': 'taken', 'relation': 'is', 'object': '1hour'}
"
)  Around 25% of supplied water (based on the tap water pressure of 3.,
5 kgf/cm2 at the water temperature of 25 C) will be purified and the remainder will be drained.,"|-  {'subject': 'remainder', 'relation': 'will', 'object': 'will drained'}
"
Water does not come out.,
The taste of water may change as it ages due to bacterial multiplication.,"|-  {'subject': 'taste', 'relation': 'may change', 'object': 'it ages due'}
|-  {'subject': 'taste', 'relation': 'may change', 'object': 'it ages'}
|-  {'subject': 'taste', 'relation': 'may change', 'object': 'it ages due to bacterial multiplication'}
|-  {'subject': 'taste', 'relation': 'may change', 'object': 'it ages due to multiplication'}
"
"Use the water purifier after discharging cold water , hot water and ROOM TEMP.",
for 10 minutes each.,
"Has it been a long time since you installed and replaced the filter?   If an expired filter is used, the purification performance may decline.","|-  {'subject': 'it', 'relation': 'been', 'object': 'long'}
|-  {'subject': 'you', 'relation': 'installed', 'object': 'filter'}
|-  {'subject': 'filter', 'relation': 'is', 'object': 'used'}
|-  {'subject': 'purification performance', 'relation': 'may decline', 'object': 'used'}
|-  {'subject': 'expired filter', 'relation': 'is', 'object': 'used'}
"
It is recommended to replace the filter according to the filter replacement period.,"|-  {'subject': 'It', 'relation': 'is', 'object': 'recommended'}
|-  {'subject': 'It', 'relation': 'replace filter according to', 'object': 'filter replacement period'}
|-  {'subject': 'It', 'relation': 'replace', 'object': 'filter'}
"
Request for filter replacement.,
Open the water supply valve.,
Did you miss the filter replacement period?   Request filter replacement.,"|-  {'subject': 'you', 'relation': 'Did miss', 'object': 'filter replacement period'}
"
Open the water supply valve.,
Is the power plug unplugged from the outlet?   Plug the power plug in the outlet correctly.,"|-  {'subject': 'power plug', 'relation': 'Is unplugged from', 'object': 'outlet'}
"
Does water not come out when  you press the discharge button?   Contact LG Electronics service centre.,
"Cold water , hot water or ROOM TEMP.",
water does not come out.,
Press the power button on the control panel to turn it on.,
Have you left the water purifier for a long period of time without using it? Water tastes strange.,"|-  {'subject': 'you', 'relation': 'Have left', 'object': 'water purifier'}
|-  {'subject': 'you', 'relation': 'using', 'object': 'it'}
|-  {'subject': 'you', 'relation': 'Have left water purifier for', 'object': 'long period of time'}
|-  {'subject': 'you', 'relation': 'Have left water purifier for', 'object': 'period of time'}
|-  {'subject': 'you', 'relation': 'Have left water purifier for', 'object': 'long period'}
|-  {'subject': 'you', 'relation': 'Have left water purifier for', 'object': 'period'}
"
The purification amount has reduced suddenly.,
"If you have discharged a lot of cold water so that there is little water in the storage tank, cold water may not come out.",
Wait a while until water is filled inside the storage tank and then use.,
"(Only applicable to models with a storage tank)  If you discharge a large amount of cold water at once, the temperature of cold water inside the cold water tank will rise.","|-  {'subject': 'you', 'relation': 'discharge', 'object': 'large amount of cold water'}
|-  {'subject': 'you', 'relation': 'large amount of', 'object': 'cold water'}
|-  {'subject': 'you', 'relation': 'amount of', 'object': 'cold water'}
|-  {'subject': 'you', 'relation': 'discharge', 'object': 'large amount'}
|-  {'subject': 'you', 'relation': 'discharge', 'object': 'amount of cold water'}
|-  {'subject': 'you', 'relation': 'discharge', 'object': 'amount'}
|-  {'subject': 'models', 'relation': 'is with', 'object': 'storage tank'}
|-  {'subject': 'you', 'relation': 'amount of', 'object': 'water'}
|-  {'subject': 'you', 'relation': 'large amount of', 'object': 'water'}
|-  {'subject': 'you', 'relation': 'discharge', 'object': 'large amount of water'}
|-  {'subject': 'you', 'relation': 'discharge', 'object': 'amount of water'}
|-  {'subject': 'you', 'relation': 'discharge amount at', 'object': 'once'}
"
Wait a while until cold water becomes colder and then use.,
"(Only applicable to models with a cooling tank)  If you discharge a lot of hot water at once, the temperature of hot water inside the hot water tank drops and tepid water may come out.","|-  {'subject': 'models', 'relation': 'is with', 'object': 'cooling tank'}
"
Wait a while until hot water becomes hotter and then use.,
(Only applicable to models with a hot water tank)     If you have discharged a lot of purified water (including Room Temp.,"|-  {'subject': 'models', 'relation': 'is with', 'object': 'hot water tank'}
"
") so that there is little purified water in the storage tank, purified water may not come put.",
Wait a while until water is filled inside the storage tank and then use.,
(Only applicable to models with a storage tank)     Install the product in a place with a flat and even surface.,"|-  {'subject': 'place', 'relation': 'is with', 'object': 'flat surface'}
|-  {'subject': 'models', 'relation': 'is with', 'object': 'storage tank'}
"
Adjust the installation position to ensure there is enough space around the product (10 cm).,
Remove the article placed on top of the product.,
"Cold water , hot water or ROOM TEMP.",
water does not come out.,
The product is noisy and generates abnormal sounds.,"|-  {'subject': 'product', 'relation': 'generates', 'object': 'sounds'}
|-  {'subject': 'product', 'relation': 'generates', 'object': 'abnormal sounds'}
|-  {'subject': 'product', 'relation': 'is', 'object': 'noisy'}
"
No ice forms in the product.,
(Only applicable to models  with ice function)     Put on the ice machine cover.,
Use the product after 6 hours have passed since tap water and power were supplied.,"|-  {'subject': 'tap water', 'relation': 'were', 'object': 'supplied'}
"
Water bubbles may form in the draining process.,"|-  {'subject': 'Water bubbles', 'relation': 'may form in', 'object': 'process'}
|-  {'subject': 'Water bubbles', 'relation': 'may form in', 'object': 'draining process'}
"
It is safe for you to drink.,"|-  {'subject': 'It', 'relation': 'is safe', 'object': 'you drink'}
|-  {'subject': 'It', 'relation': 'is', 'object': 'safe'}
"
Fine particles occur in the purified water.,"|-  {'subject': 'particles', 'relation': 'occur in', 'object': 'purified water'}
|-  {'subject': 'particles', 'relation': 'occur in', 'object': 'water'}
|-  {'subject': 'Fine particles', 'relation': 'occur in', 'object': 'water'}
|-  {'subject': 'Fine particles', 'relation': 'occur in', 'object': 'purified water'}
"
"If fine particles exist continuously after you receive water from the water purifier and several minutes have passed, cut off the tap water supply and power supply and contact LG Electronics service centre.","|-  {'subject': 'you', 'relation': 'receive water from', 'object': 'water purifier'}
|-  {'subject': 'you', 'relation': 'receive', 'object': 'water'}
"
This warranty card is valid only for products sold by LG Electronics in the Indian Market.,"|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'products'}
|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'only products sold by LG Electronics in Indian Market'}
|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'products sold in Indian Market'}
|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'products sold by LG Electronics'}
|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'only products'}
|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'only products sold in Indian Market'}
|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'products sold by LG Electronics in Indian Market'}
|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'products sold'}
|-  {'subject': 'warranty card', 'relation': 'is', 'object': 'valid'}
|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'only products sold'}
|-  {'subject': 'warranty card', 'relation': 'is valid for', 'object': 'only products sold by LG Electronics'}
"
THIS WARRANTY IS NOT TRANSFERABLE AND IS APPLICABLE TO THE ORIGINAL PURCHASER ONLY.,"|-  {'subject': 'WARRANTY', 'relation': 'IS', 'object': 'NOT TRANSFERABLE'}
|-  {'subject': 'WARRANTY', 'relation': 'IS', 'object': 'IS APPLICABLE TO ORIGINAL PURCHASER ONLY'}
|-  {'subject': 'WARRANTY', 'relation': 'IS', 'object': 'IS APPLICABLE'}
|-  {'subject': 'WARRANTY', 'relation': 'IS', 'object': 'IS APPLICABLE TO PURCHASER ONLY'}
"
FILL OUT THIS RECORD AND KEEP IT TOGETHER WITH YOUR PURCHASE DOCKET IN A SAFE PLACE.,"|-  {'subject': 'OUT RECORD', 'relation': 'KEEP', 'object': 'IT'}
|-  {'subject': 'YOUR PURCHASE DOCKET', 'relation': 'is IN', 'object': 'SAFE PLACE'}
"
"SHOULD YOU REQUIRE SERVICE UNDER THE TERMS OF THIS WARRANTY, PLEASE CONTACT US.","|-  {'subject': 'YOU', 'relation': 'SERVICE UNDER', 'object': 'TERMS'}
"
"Should your LG product fail due to a defect in material or workmanship under normal home use during the warranty period set forth below, the company will repair or replace the product upon receipt of proof of original retail purchase.","|-  {'subject': 'company', 'relation': 'will repair product upon', 'object': 'receipt of proof of original purchase'}
|-  {'subject': 'defect', 'relation': 'is in', 'object': 'material'}
|-  {'subject': 'company', 'relation': 'will repair product upon', 'object': 'receipt'}
|-  {'subject': 'company', 'relation': 'will repair product upon', 'object': 'receipt of proof of purchase'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect under home use during warranty period'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect in material under home use during warranty period set forth'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect in material under home use during warranty period set'}
|-  {'subject': 'company', 'relation': 'will repair product upon', 'object': 'receipt of proof of retail purchase'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect under normal home use'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect in material under normal home use during warranty period set forth below'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect in material under normal home use'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect under normal home use during warranty period'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect in material under home use during warranty period set below'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect under home use during warranty period set forth'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect in material under normal home use during warranty period set below'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect under home use'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect under normal home use during warranty period set below'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect in material under home use'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect under home use during warranty period set below'}
|-  {'subject': 'your LG product', 'relation': 'Should fail due to', 'object': 'defect in material under home use during warranty period'}
